영업일자,상품분류,상품명,판매수량
2024-01-23,그랜드테이블,카페라떼(HOT),6
2024-01-23,그랜드테이블,카페라떼(ICE),1
2024-01-23,그랜드테이블,카푸치노(HOT),1
2024-01-23,그랜드테이블,바닐라라떼(HOT),2
2024-01-23,그랜드테이블,바닐라라떼(ICE),2
2024-01-23,그랜드테이블,카페모카(ICE),2
2024-01-23,그랜드테이블,초코라떼(HOT),4
2024-01-23,그랜드테이블,초코라떼(ICE),3
2024-01-23,그랜드테이블,아이스티,3
2024-01-23,그랜드테이블,청포도주스(ICE),2
2024-01-23,그랜드테이블,아메리카노(HOT),33
2024-01-23,그랜드테이블,아메리카노(ICE),24
2024-01-23,그랜드테이블,아이스메리 스트로베리,7
2024-01-23,그랜드테이블,꿀자몽블랙티(ICE),2
2024-01-23,그랜드테이블,유자티(HOT),1
2024-01-23,그랜드테이블,유자티(ICE),1
2024-01-23,그랜드테이블,아임파인주스,3
2024-01-24,그랜드테이블,카페라떼(HOT),1
2024-01-24,그랜드테이블,카페라떼(ICE),5
2024-01-24,그랜드테이블,카푸치노(HOT),1
2024-01-24,그랜드테이블,바닐라라떼(HOT),1
2024-01-24,그랜드테이블,바닐라라떼(ICE),2
2024-01-24,그랜드테이블,카페모카(HOT),2
2024-01-24,그랜드테이블,카페모카(ICE),2
2024-01-24,그랜드테이블,초코라떼(ICE),2
2024-01-24,그랜드테이블,아이스티,1
2024-01-24,그랜드테이블,청포도주스(ICE),3
2024-01-24,그랜드테이블,아메리카노(HOT),26
2024-01-24,그랜드테이블,아메리카노(ICE),23
2024-01-24,그랜드테이블,아이스메리 스트로베리,4
2024-01-24,그랜드테이블,꿀자몽블랙티(HOT),3
2024-01-24,그랜드테이블,꿀자몽블랙티(ICE),1
2024-01-24,그랜드테이블,유자티(HOT),3
2024-01-24,그랜드테이블,유자티(ICE),2
2024-01-24,그랜드테이블,아임파인주스,3
2024-01-25,그랜드테이블,카페라떼(HOT),4
2024-01-25,그랜드테이블,바닐라라떼(HOT),2
2024-01-25,그랜드테이블,바닐라라떼(ICE),2
2024-01-25,그랜드테이블,초코라떼(HOT),4
2024-01-25,그랜드테이블,아이스티,1
2024-01-25,그랜드테이블,청포도주스(ICE),4
2024-01-25,그랜드테이블,아메리카노(HOT),23
2024-01-25,그랜드테이블,아메리카노(ICE),15
2024-01-25,그랜드테이블,아이스메리 스트로베리,2
2024-01-25,그랜드테이블,꿀자몽블랙티(HOT),2
2024-01-25,그랜드테이블,꿀자몽블랙티(ICE),2
2024-01-26,그랜드테이블,카페라떼(ICE),1
2024-01-26,그랜드테이블,초코라떼(HOT),2
2024-01-26,그랜드테이블,초코라떼(ICE),1
2024-01-26,그랜드테이블,청포도주스(ICE),3
2024-01-26,그랜드테이블,아메리카노(HOT),17
2024-01-26,그랜드테이블,아메리카노(ICE),10
2024-01-26,그랜드테이블,아이스메리 스트로베리,1
2024-01-26,그랜드테이블,꿀자몽블랙티(ICE),1
2024-01-26,그랜드테이블,유자티(HOT),3
2024-01-26,그랜드테이블,유자티(ICE),2
2024-01-26,그랜드테이블,아임파인주스,2
2024-01-27,그랜드테이블,카페라떼(HOT),7
2024-01-27,그랜드테이블,카페라떼(ICE),1
2024-01-27,그랜드테이블,바닐라라떼(HOT),3
2024-01-27,그랜드테이블,바닐라라떼(ICE),4
2024-01-27,그랜드테이블,카페모카(ICE),1
2024-01-27,그랜드테이블,초코라떼(HOT),8
2024-01-27,그랜드테이블,초코라떼(ICE),4
2024-01-27,그랜드테이블,아이스티,4
2024-01-27,그랜드테이블,청포도주스(ICE),3
2024-01-27,그랜드테이블,아메리카노(HOT),49
2024-01-27,그랜드테이블,아메리카노(ICE),47
2024-01-27,그랜드테이블,아이스메리 스트로베리,5
2024-01-27,그랜드테이블,꿀자몽블랙티(HOT),4
2024-01-27,그랜드테이블,꿀자몽블랙티(ICE),2
2024-01-27,그랜드테이블,유자티(HOT),3
2024-01-27,그랜드테이블,유자티(ICE),3
2024-01-27,그랜드테이블,아임파인주스,4
2024-01-28,그랜드테이블,카페라떼(HOT),1
2024-01-28,그랜드테이블,카페라떼(ICE),2
2024-01-28,그랜드테이블,카푸치노(HOT),1
2024-01-28,그랜드테이블,바닐라라떼(HOT),1
2024-01-28,그랜드테이블,바닐라라떼(ICE),3
2024-01-28,그랜드테이블,초코라떼(HOT),2
2024-01-28,그랜드테이블,초코라떼(ICE),2
2024-01-28,그랜드테이블,아이스티,1
2024-01-28,그랜드테이블,청포도주스(ICE),2
2024-01-28,그랜드테이블,아메리카노(HOT),6
2024-01-28,그랜드테이블,아메리카노(ICE),15
2024-01-28,그랜드테이블,아이스메리 스트로베리,3
2024-01-28,그랜드테이블,꿀자몽블랙티(ICE),2
2024-01-28,그랜드테이블,유자티(HOT),4
2024-01-28,그랜드테이블,유자티(ICE),3
2024-01-28,그랜드테이블,아임파인주스,3
2024-01-29,그랜드테이블,카페라떼(HOT),7
2024-01-29,그랜드테이블,카페라떼(ICE),1
2024-01-29,그랜드테이블,카푸치노(HOT),1
2024-01-29,그랜드테이블,바닐라라떼(HOT),2
2024-01-29,그랜드테이블,바닐라라떼(ICE),1
2024-01-29,그랜드테이블,카페모카(HOT),1
2024-01-29,그랜드테이블,카페모카(ICE),2
2024-01-29,그랜드테이블,초코라떼(HOT),2
2024-01-29,그랜드테이블,초코라떼(ICE),2
2024-01-29,그랜드테이블,아이스티,3
2024-01-29,그랜드테이블,아메리카노(HOT),21
2024-01-29,그랜드테이블,아메리카노(ICE),34
2024-01-29,그랜드테이블,아이스메리 스트로베리,4
2024-01-29,그랜드테이블,꿀자몽블랙티(HOT),1
2024-01-29,그랜드테이블,유자티(HOT),1
2024-01-29,그랜드테이블,유자티(ICE),3
2024-01-29,그랜드테이블,아임파인주스,2
2024-01-30,그랜드테이블,카페라떼(ICE),1
2024-01-30,그랜드테이블,카푸치노(HOT),1
2024-01-30,그랜드테이블,바닐라라떼(ICE),3
2024-01-30,그랜드테이블,카페모카(HOT),3
2024-01-30,그랜드테이블,카페모카(ICE),3
2024-01-30,그랜드테이블,초코라떼(HOT),1
2024-01-30,그랜드테이블,초코라떼(ICE),4
2024-01-30,그랜드테이블,청포도주스(ICE),5
2024-01-30,그랜드테이블,아메리카노(HOT),28
2024-01-30,그랜드테이블,아메리카노(ICE),13
2024-01-30,그랜드테이블,아이스메리 스트로베리,1
2024-01-30,그랜드테이블,꿀자몽블랙티(HOT),1
2024-01-30,그랜드테이블,유자티(HOT),3
2024-01-30,그랜드테이블,아임파인주스,4
2024-01-31,그랜드테이블,카페라떼(HOT),3
2024-01-31,그랜드테이블,카푸치노(HOT),1
2024-01-31,그랜드테이블,바닐라라떼(HOT),1
2024-01-31,그랜드테이블,카페모카(ICE),2
2024-01-31,그랜드테이블,아이스티,1
2024-01-31,그랜드테이블,아메리카노(HOT),22
